"","DOGE-USD.Open","DOGE-USD.High","DOGE-USD.Low","DOGE-USD.Close","DOGE-USD.Volume","DOGE-USD.Adjusted"
"2021-06-09",0.326423,0.353762,0.313131,0.343331,3154332929,0.343331
"2021-06-10",0.343339,0.344529,0.323278,0.326351,2114010549,0.326351
"2021-06-11",0.326364,0.333223,0.311502,0.319359,1834446577,0.319359
"2021-06-12",0.318893,0.319332,0.301804,0.312084,1605633791,0.312084
"2021-06-13",0.312485,0.330026,0.307892,0.324382,1484851447,0.324382
"2021-06-14",0.323903,0.336927,0.320087,0.332085,1613812023,0.332085
"2021-06-15",0.326785,0.330495,0.316976,0.328381,1687965230,0.328381
"2021-06-16",0.320378,0.321393,0.305485,0.307761,1391720788,0.307761
"2021-06-17",0.307749,0.314011,0.303316,0.306496,1120766442,0.306496
"2021-06-18",0.306428,0.307752,0.280481,0.293472,1846213589,0.293472
"2021-06-19",0.293649,0.297803,0.286189,0.287356,1003248258,0.287356
"2021-06-20",0.286394,0.289727,0.256467,0.2809,1963503800,0.2809
"2021-06-21",0.28066,0.280889,0.166491,0.178691,5640232167,0.178691
"2021-06-22",0.178682,0.216122,0.164654,0.191031,5992850344,0.191031
"2021-06-23",0.190671,0.24711,0.180979,0.232174,5098674891,0.232174
"2021-06-24",0.23497,0.26869,0.222527,0.262782,3844648059,0.262782
"2021-06-25",0.26348,0.289145,0.230006,0.239153,5542163262,0.239153
"2021-06-26",0.237673,0.255127,0.230972,0.244784,2649457302,0.244784
"2021-06-27",0.246045,0.266891,0.240894,0.26445,2167521670,0.26445
"2021-06-28",0.264918,0.266982,0.250762,0.256857,1932994784,0.256857
"2021-06-29",0.257061,0.27494,0.252988,0.262769,2192562738,0.262769
"2021-06-30",0.263417,0.263538,0.238268,0.254215,2047763830,0.254215
"2021-07-01",0.253828,0.260092,0.238677,0.244549,2463946548,0.244549
"2021-07-02",0.243982,0.247997,0.238848,0.245264,1321470954,0.245264
"2021-07-03",0.245106,0.250214,0.242454,0.246411,917015819,0.246411
"2021-07-04",0.246425,0.252567,0.243425,0.246483,973511519,0.246483
"2021-07-05",0.246419,0.246419,0.227838,0.231614,1267949362,0.231614
"2021-07-06",0.231216,0.24191,0.229842,0.234422,1265920169,0.234422
"2021-07-07",0.234301,0.237851,0.222576,0.224126,1148903688,0.224126
"2021-07-08",0.224383,0.22493,0.202987,0.207597,1789637577,0.207597
"2021-07-09",0.207073,0.229139,0.196607,0.219864,3045790264,0.219864
"2021-07-10",0.219846,0.227681,0.210745,0.21392,1264519098,0.21392
"2021-07-11",0.213887,0.218745,0.210931,0.215856,719870047,0.215856
"2021-07-12",0.21601,0.218965,0.204506,0.208048,973602708,0.208048
"2021-07-13",0.208009,0.208062,0.198163,0.200003,1035890377,0.200003
"2021-07-14",0.199978,0.204483,0.187752,0.197324,1319171299,0.197324
"2021-07-15",0.197749,0.20084,0.180786,0.184888,1044558931,0.184888
"2021-07-16",0.185238,0.188322,0.171612,0.172345,1144730187,0.172345
"2021-07-17",0.172118,0.204937,0.16923,0.186125,2393120423,0.186125
"2021-07-18",0.186841,0.195788,0.180886,0.182233,1424484163,0.182233
"2021-07-19",0.181818,0.18395,0.170712,0.173556,1084816777,0.173556
"2021-07-20",0.173763,0.178895,0.160728,0.170801,1809479230,0.170801
"2021-07-21",0.170527,0.21421,0.168719,0.190349,4433688120,0.190349
"2021-07-22",0.19048,0.196404,0.186664,0.191303,1629442360,0.191303
"2021-07-23",0.191359,0.199531,0.18354,0.194764,1447257649,0.194764
"2021-07-24",0.194823,0.204369,0.191344,0.197319,1695867808,0.197319
"2021-07-25",0.197173,0.200451,0.191697,0.197864,1256116971,0.197864
"2021-07-26",0.19803,0.232767,0.197063,0.204419,4863225852,0.204419
"2021-07-27",0.203836,0.209293,0.19535,0.205899,2229903212,0.205899
"2021-07-28",0.206111,0.213746,0.202011,0.205392,2076707890,0.205392
"2021-07-29",0.205591,0.206355,0.200716,0.204619,1169322798,0.204619
"2021-07-30",0.205023,0.210643,0.196535,0.208821,1523981522,0.208821
"2021-07-31",0.208638,0.214345,0.204897,0.208314,1349212924,0.208314
"2021-08-01",0.207753,0.217611,0.201389,0.204437,1711494501,0.204437
"2021-08-02",0.204279,0.209959,0.202188,0.2036,1181469976,0.2036
"2021-08-03",0.203431,0.205077,0.19375,0.195967,1121632377,0.195967
"2021-08-04",0.196312,0.20311,0.19445,0.20149,1095300718,0.20149
"2021-08-05",0.201575,0.202513,0.194685,0.200974,1139204754,0.200974
"2021-08-06",0.20096,0.211756,0.198617,0.204688,1332579279,0.204688
"2021-08-07",0.204846,0.26199,0.203772,0.260341,6343062404,0.260341
"2021-08-08",0.261956,0.281379,0.235348,0.240045,6984782653,0.240045
"2021-08-09",0.240122,0.266265,0.23141,0.256897,4607903346,0.256897
"2021-08-10",0.256366,0.262791,0.245352,0.257325,3424415504,0.257325
"2021-08-11",0.257424,0.282482,0.256382,0.265263,4732068476,0.265263
"2021-08-12",0.264853,0.294142,0.252775,0.263921,5264857508,0.263921
"2021-08-13",0.264249,0.287188,0.261907,0.286808,3565092106,0.286808
"2021-08-14",0.286801,0.298456,0.277154,0.293113,4677579997,0.293113
"2021-08-15",0.294086,0.348722,0.287063,0.341441,8046171669,0.341441
"2021-08-16",0.340165,0.350953,0.310828,0.320715,6681324187,0.320715
"2021-08-17",0.319631,0.339462,0.295763,0.299442,5699700481,0.299442
"2021-08-18",0.299203,0.324227,0.282016,0.303739,6347995770,0.303739
"2021-08-19",0.303376,0.319018,0.294088,0.317144,3760495939,0.317144
"2021-08-20",0.317571,0.333223,0.314142,0.327491,3512291078,0.327491
"2021-08-21",0.327395,0.329356,0.315433,0.316797,2600396651,0.316797
"2021-08-22",0.317085,0.321541,0.306546,0.314963,2237836352,0.314963
"2021-08-23",0.314926,0.328094,0.313368,0.317914,2836628655,0.317914
"2021-08-24",0.318386,0.319757,0.277777,0.288739,3143768703,0.288739
"2021-08-25",0.289218,0.296815,0.279995,0.292226,2518743227,0.292226
"2021-08-26",0.292794,0.296002,0.265313,0.268909,2410285454,0.268909
"2021-08-27",0.268819,0.294845,0.265392,0.294433,2382150423,0.294433
"2021-08-28",0.294631,0.29917,0.283273,0.285629,1534807298,0.285629
"2021-08-29",0.285863,0.291663,0.277486,0.281125,1473623363,0.281125
"2021-08-30",0.281233,0.289559,0.270375,0.272125,1748987269,0.272125
"2021-08-31",0.271878,0.285819,0.270047,0.278453,1745967018,0.278453
"2021-09-01",0.278062,0.294889,0.273526,0.294401,1937809622,0.294401
"2021-09-02",0.294393,0.309227,0.29201,0.295955,2981069411,0.295955
"2021-09-03",0.294754,0.304494,0.288541,0.296273,2384046931,0.296273
"2021-09-04",0.296068,0.308731,0.293342,0.299388,2263193245,0.299388
"2021-09-05",0.299324,0.315009,0.296582,0.314527,2393033527,0.314527
"2021-09-06",0.314315,0.319751,0.300451,0.308765,2611846129,0.308765
"2021-09-07",0.308951,0.31103,0.216527,0.253744,5653327525,0.253744
"2021-09-08",0.254266,0.26329,0.234864,0.257113,3226346052,0.257113
"2021-09-09",0.250362,0.259558,0.24927,0.252596,1763183557,0.252596
"2021-09-10",0.252585,0.261622,0.235909,0.239982,1840815800,0.239982
"2021-09-11",0.239826,0.248018,0.238487,0.241432,1196337689,0.241432
"2021-09-12",0.241329,0.254794,0.239233,0.250617,1419288866,0.250617
"2021-09-13",0.250624,0.252031,0.228911,0.235906,1759116002,0.235906
"2021-09-14",0.236063,0.241678,0.233962,0.240709,967948743,0.240709
"2021-09-15",0.24059,0.248322,0.239215,0.247697,980188820,0.247697
"2021-09-16",0.247542,0.247733,0.233852,0.242555,1140048496,0.242555
"2021-09-17",0.242098,0.259535,0.238026,0.23993,2246768047,0.23993
"2021-09-18",0.239928,0.247328,0.238228,0.241386,999151515,0.241386
"2021-09-19",0.241281,0.241285,0.231337,0.233142,892763953,0.233142
"2021-09-20",0.233161,0.233606,0.200022,0.207071,2244003542,0.207071
"2021-09-21",0.208773,0.218094,0.198161,0.201027,1766963639,0.201027
"2021-09-22",0.200822,0.229423,0.200224,0.224858,2016471206,0.224858
"2021-09-23",0.224748,0.227095,0.218115,0.224832,1169581249,0.224832
"2021-09-24",0.224726,0.228267,0.19772,0.209451,1883155313,0.209451
"2021-09-25",0.209348,0.212604,0.204875,0.20864,1067132277,0.20864
"2021-09-26",0.20873,0.209068,0.194489,0.204962,1147321467,0.204962
"2021-09-27",0.205241,0.209281,0.200078,0.200262,838297166,0.200262
"2021-09-28",0.200001,0.202579,0.196352,0.196804,866301240,0.196804
"2021-09-29",0.19698,0.204144,0.195042,0.198876,926737135,0.198876
"2021-09-30",0.198869,0.205806,0.197855,0.204244,916819792,0.204244
"2021-10-01",0.204427,0.224607,0.201994,0.22301,1435469263,0.22301
"2021-10-02",0.222741,0.224955,0.215493,0.219133,1166058975,0.219133
"2021-10-03",0.218811,0.226228,0.215872,0.221748,1070267896,0.221748
"2021-10-04",0.22193,0.247924,0.213284,0.240852,3684051106,0.240852
"2021-10-05",0.24124,0.267787,0.233588,0.252016,4628329381,0.252016
"2021-10-06",0.252008,0.271509,0.243096,0.255134,4659725421,0.255134
"2021-10-07",0.25434,0.256739,0.239127,0.242923,2936116763,0.242923
"2021-10-08",0.243023,0.254764,0.241692,0.243851,1952117191,0.243851
"2021-10-09",0.243495,0.251966,0.241757,0.246596,1484990033,0.246596
"2021-10-10",0.246572,0.248663,0.227858,0.229805,1466060853,0.229805
"2021-10-11",0.22945,0.239381,0.225521,0.231503,1463611233,0.231503
"2021-10-12",0.231525,0.231718,0.216447,0.226242,1881102059,0.226242
"2021-10-13",0.226175,0.233943,0.221061,0.232572,1457486924,0.232572
"2021-10-14",0.232561,0.23988,0.231497,0.232273,1337117776,0.232273
"2021-10-15",0.232644,0.243469,0.22575,0.233782,1837803539,0.233782
"2021-10-16",0.233881,0.244447,0.233683,0.237292,1541850812,0.237292
"2021-10-17",0.237193,0.241973,0.22638,0.237898,1397143121,0.237898
"2021-10-18",0.237806,0.271394,0.237488,0.247281,5003365533,0.247281
"2021-10-19",0.247378,0.254611,0.240651,0.245788,1675967829,0.245788
"2021-10-20",0.245502,0.261555,0.242384,0.254093,1853058770,0.254093
"2021-10-21",0.254793,0.258261,0.242273,0.242391,1742570934,0.242391
"2021-10-22",0.242479,0.252772,0.236472,0.244221,1829875043,0.244221
"2021-10-23",0.244514,0.25314,0.241589,0.251733,1502684867,0.251733
"2021-10-24",0.251432,0.281935,0.246028,0.277048,5278760541,0.277048
"2021-10-25",0.275745,0.279472,0.26022,0.264707,3364560707,0.264707
"2021-10-26",0.264783,0.274317,0.253721,0.255732,2513384162,0.255732
"2021-10-27",0.255836,0.263317,0.220328,0.23769,5022822846,0.23769
"2021-10-28",0.237381,0.338843,0.233334,0.300447,20359592492,0.300447
"2021-10-29",0.299964,0.306312,0.279771,0.287853,5866664030,0.287853
"2021-10-30",0.287764,0.294647,0.259888,0.268345,3637334331,0.268345
"2021-10-31",0.269239,0.284707,0.252614,0.280244,4224104205,0.280244
"2021-11-01",0.280123,0.285551,0.264089,0.271728,2784956027,0.271728
"2021-11-02",0.271892,0.280686,0.267597,0.273121,2336414476,0.273121
"2021-11-03",0.273504,0.277104,0.263979,0.269407,2091380862,0.269407
"2021-11-04",0.269112,0.270865,0.254711,0.26328,1902957818,0.26328
"2021-11-05",0.263655,0.270789,0.257888,0.261465,1559898586,0.261465
"2021-11-06",0.261264,0.267697,0.250521,0.261898,1353526462,0.261898
"2021-11-07",0.261971,0.269849,0.258967,0.266315,1155873526,0.266315
"2021-11-08",0.266728,0.296532,0.264918,0.282359,4093381450,0.282359
"2021-11-09",0.282539,0.289668,0.271752,0.273526,2353452396,0.273526
"2021-11-10",0.273597,0.276989,0.23803,0.255709,2820521435,0.255709
"2021-11-11",0.255705,0.269965,0.253283,0.261167,1628781435,0.261167
"2021-11-12",0.260937,0.268437,0.249457,0.259414,1563007446,0.259414
"2021-11-13",0.259618,0.262251,0.25454,0.261706,923837904,0.261706
"2021-11-14",0.261591,0.271257,0.260275,0.262912,1264556615,0.262912
"2021-11-15",0.26287,0.26517,0.256367,0.256529,1028469310,0.256529
"2021-11-16",0.257094,0.257094,0.226394,0.237249,2248804980,0.237249
"2021-11-17",0.23701,0.240906,0.232859,0.237487,1543405154,0.237487
"2021-11-18",0.237556,0.241091,0.216099,0.221383,1860661769,0.221383
"2021-11-19",0.220995,0.236832,0.216518,0.23311,1296123511,0.23311
"2021-11-20",0.233174,0.235953,0.225451,0.233024,805305660,0.233024
"2021-11-21",0.233255,0.23335,0.22568,0.226328,751789838,0.226328
"2021-11-22",0.22616,0.227531,0.216898,0.219676,921753721,0.219676
"2021-11-23",0.219666,0.236201,0.214566,0.226512,1907278849,0.226512
"2021-11-24",0.22668,0.230245,0.211836,0.221825,1957665360,0.221825
"2021-11-25",0.217132,0.22881,0.214317,0.216326,1344826632,0.216326
"2021-11-26",0.221047,0.221759,0.190344,0.200887,2231733479,0.200887
"2021-11-27",0.201429,0.209613,0.200871,0.205347,917785649,0.205347
"2021-11-28",0.205295,0.207472,0.193064,0.207472,1027555437,0.207472
"2021-11-29",0.207444,0.223692,0.203252,0.215175,1869737827,0.215175
"2021-11-30",0.215111,0.22689,0.213251,0.214715,1897635999,0.214715
"2021-12-01",0.214487,0.218496,0.206298,0.209487,988030934,0.209487
"2021-12-02",0.209476,0.223011,0.202169,0.209726,1879305770,0.209726
"2021-12-03",0.209463,0.211991,0.193274,0.199993,1260948451,0.199993
"2021-12-04",0.200356,0.200562,0.132826,0.178853,4388513696,0.178853
"2021-12-05",0.178263,0.181133,0.162949,0.171255,1645331135,0.171255
"2021-12-06",0.171383,0.180527,0.159558,0.1784,1896979202,0.1784
"2021-12-07",0.178374,0.183539,0.175505,0.176805,1085087124,0.176805
"2021-12-08",0.176609,0.182168,0.17263,0.179151,1014713070,0.179151
"2021-12-09",0.178961,0.18189,0.169484,0.169484,1071039221,0.169484
"2021-12-10",0.169466,0.17461,0.164065,0.164422,845450410,0.164422
"2021-12-11",0.164499,0.17008,0.161817,0.169019,692929162,0.169019
"2021-12-12",0.168904,0.172899,0.165899,0.169891,593132337,0.169891
"2021-12-13",0.16988,0.170615,0.151996,0.157565,968464045,0.157565
"2021-12-14",0.157465,0.219632,0.155447,0.180157,6411471551,0.180157
"2021-12-15",0.191144,0.191144,0.171266,0.181082,2466135011,0.181082
"2021-12-16",0.181171,0.184933,0.172655,0.173454,1057988990,0.173454
"2021-12-17",0.173381,0.176559,0.162263,0.16901,1026719015,0.16901
"2021-12-18",0.1691,0.174874,0.166244,0.1724,658993272,0.1724
"2021-12-19",0.172533,0.174378,0.169382,0.169576,541018118,0.169576
"2021-12-20",0.169523,0.170833,0.161497,0.167322,912233179,0.167322
"2021-12-21",0.167098,0.17234,0.166108,0.171175,621397179,0.171175
"2021-12-22",0.171129,0.179585,0.170055,0.173214,932537493,0.173214
"2021-12-23",0.173209,0.184522,0.17174,0.18449,1184481683,0.18449
"2021-12-24",0.184979,0.19529,0.179761,0.186622,1853415104,0.186622
"2021-12-25",0.186712,0.194876,0.185571,0.190657,1010443046,0.190657
"2021-12-26",0.190567,0.192546,0.185646,0.19002,650674078,0.19002
"2021-12-27",0.189986,0.192923,0.187239,0.187705,666773423,0.187705
"2021-12-28",0.187847,0.187885,0.172738,0.174117,954075337,0.174117
"2021-12-29",0.174095,0.177339,0.16676,0.167765,823628336,0.167765
"2021-12-30",0.168137,0.175771,0.165381,0.171313,599236772,0.171313
"2021-12-31",0.171317,0.175294,0.167307,0.170496,644416694,0.170496
"2022-01-01",0.17051,0.173423,0.170353,0.173035,371336089,0.173035
"2022-01-02",0.173027,0.175989,0.171201,0.174403,391041933,0.174403
"2022-01-03",0.174406,0.174406,0.168271,0.170088,505900382,0.170088
"2022-01-04",0.170151,0.172339,0.168128,0.168803,541922892,0.168803
"2022-01-05",0.168835,0.170747,0.151898,0.15942,994086848,0.15942
"2022-01-06",0.159436,0.161706,0.155142,0.160213,715345645,0.160213
"2022-01-07",0.160205,0.160295,0.151299,0.155023,969384523,0.155023
"2022-01-08",0.155031,0.157725,0.147669,0.151954,584437036,0.151954
"2022-01-09",0.151959,0.153742,0.149607,0.151065,408786249,0.151065
"2022-01-10",0.151073,0.152135,0.13984,0.143359,763684873,0.143359
"2022-01-11",0.143351,0.164621,0.142647,0.153399,1628447666,0.153399
"2022-01-12",0.153458,0.161652,0.152095,0.161652,896008600,0.161652
"2022-01-13",0.161562,0.174792,0.161562,0.172043,2301820074,0.172043
"2022-01-14",0.172053,0.203232,0.171283,0.183549,5784004926,0.183549
"2022-01-15",0.183644,0.1936,0.182676,0.185103,1878282290,0.185103
"2022-01-16",0.185093,0.185093,0.175327,0.177176,1102750171,0.177176
"2022-01-17",0.177187,0.177872,0.166891,0.171145,1094379303,0.171145
"2022-01-18",0.171086,0.17379,0.162565,0.165485,979693368,0.165485
"2022-01-19",0.165485,0.168647,0.160122,0.162356,935006164,0.162356
"2022-01-20",0.162346,0.168846,0.155176,0.155204,469269658,0.155204
"2022-01-21",0.155263,0.157156,0.141496,0.14264,1163061854,0.14264
"2022-01-22",0.142651,0.145027,0.122816,0.132892,1693524581,0.132892
"2022-01-23",0.13296,0.143072,0.132819,0.141863,1006234946,0.141863
"2022-01-24",0.141881,0.141951,0.12722,0.137798,1446873574,0.137798
"2022-01-25",0.137784,0.147236,0.133235,0.143049,1347567750,0.143049
"2022-01-26",0.143014,0.152603,0.142152,0.143789,1253108115,0.143789
"2022-01-27",0.143756,0.14501,0.136947,0.141247,608707586,0.141247
"2022-01-28",0.141244,0.142413,0.13838,0.141656,506667466,0.141656
"2022-01-29",0.141649,0.143984,0.14148,0.143056,397610776,0.143056
"2022-01-30",0.143057,0.143515,0.138754,0.139471,363976741,0.139471
"2022-01-31",0.139469,0.142264,0.136853,0.141805,412307174,0.141805
"2022-02-01",0.141805,0.144129,0.141125,0.142631,409432267,0.142631
"2022-02-02",0.142626,0.145253,0.136918,0.137235,483194691,0.137235
"2022-02-03",0.137213,0.138747,0.135565,0.137541,383506507,0.137541
"2022-02-04",0.137523,0.147592,0.13725,0.147503,580740990,0.147503
"2022-02-05",0.147533,0.15014,0.14541,0.147141,587009429,0.147141
"2022-02-06",0.14714,0.154775,0.145258,0.15377,757004142,0.15377
"2022-02-07",0.153803,0.171586,0.151741,0.165578,1791358822,0.165578
"2022-02-08",0.165606,0.169145,0.153709,0.158405,1190116000,0.158405
"2022-02-09",0.158357,0.160704,0.155035,0.159123,778670798,0.159123
"2022-02-10",0.159145,0.160437,0.151497,0.151889,1053630584,0.151889
"2022-02-11",0.151895,0.154069,0.143349,0.144847,776730555,0.144847
"2022-02-12",0.144856,0.147013,0.141678,0.144405,602699408,0.144405
"2022-02-13",0.144379,0.157354,0.144031,0.148948,1581065491,0.148948
"2022-02-14",0.148869,0.150132,0.143649,0.146003,898042727,0.146003
"2022-02-15",0.145996,0.152199,0.145203,0.151761,674961496,0.151761
"2022-02-16",0.151779,0.151824,0.146771,0.149095,505588732,0.149095
"2022-02-17",0.14905,0.149889,0.138071,0.138552,721382126,0.138552
"2022-02-18",0.138594,0.142097,0.13696,0.138768,563817289,0.138768
"2022-02-19",0.138764,0.145906,0.138751,0.141206,655782652,0.141206
"2022-02-20",0.141197,0.141197,0.135852,0.136868,490138547,0.136868
"2022-02-21",0.136838,0.141345,0.128246,0.12849,913773124,0.12849
"2022-02-22",0.128488,0.131696,0.125365,0.131553,711967119,0.131553
"2022-02-23",0.131561,0.135337,0.127846,0.127846,587472906,0.127846
"2022-02-24",0.127821,0.127851,0.109555,0.123813,2046477370,0.123813
"2022-02-25",0.123843,0.128181,0.120983,0.127576,805161073,0.127576
"2022-02-26",0.127568,0.130071,0.126199,0.127647,535575654,0.127647
"2022-02-27",0.127639,0.128235,0.122053,0.123111,592809151,0.123111
"2022-02-28",0.123118,0.134479,0.121954,0.133156,765755924,0.133156
"2022-03-01",0.133174,0.13773,0.130462,0.133938,876604512,0.133938
"2022-03-02",0.133964,0.136214,0.131232,0.13299,709536320,0.13299
"2022-03-03",0.132998,0.133649,0.12781,0.12961,518193386,0.12961
"2022-03-04",0.129631,0.129856,0.121544,0.122591,650665594,0.122591
"2022-03-05",0.122614,0.125375,0.121572,0.124996,334091552,0.124996
"2022-03-06",0.125025,0.125611,0.120384,0.120766,400458464,0.120766
"2022-03-07",0.120769,0.122563,0.115015,0.117105,513014829,0.117105
"2022-03-08",0.117106,0.119724,0.115838,0.117029,491414294,0.117029
"2022-03-09",0.117047,0.123734,0.116766,0.121588,519157507,0.121588
"2022-03-10",0.121572,0.121612,0.115532,0.116885,513641345,0.116885
"2022-03-11",0.116893,0.118293,0.11457,0.115602,388727358,0.115602
"2022-03-12",0.115608,0.117239,0.115132,0.115136,235277001,0.115136
"2022-03-13",0.11508,0.116231,0.110686,0.111608,373430106,0.111608
"2022-03-14",0.111607,0.118967,0.110817,0.114048,822092169,0.114048
"2022-03-15",0.114043,0.114213,0.110937,0.112784,400614617,0.112784
"2022-03-16",0.112779,0.116908,0.112364,0.116908,537170937,0.116908
"2022-03-17",0.116907,0.11871,0.116281,0.116502,412838814,0.116502
"2022-03-18",0.11649,0.119375,0.114568,0.119306,410862503,0.119306
"2022-03-19",0.119278,0.124573,0.11853,0.123569,628081786,0.123569
"2022-03-20",0.123579,0.123919,0.117991,0.119154,428111799,0.119154
"2022-03-21",0.119146,0.121332,0.118306,0.119339,439486516,0.119339
"2022-03-22",0.119333,0.12535,0.119014,0.122481,610507111,0.122481
"2022-03-23",0.122487,0.130713,0.121361,0.129727,998922753,0.129727
"2022-03-24",0.129722,0.140605,0.128455,0.13655,2017926806,0.13655
"2022-03-25",0.136603,0.137275,0.128782,0.131013,882486375,0.131013
"2022-03-26",0.13101,0.136495,0.129878,0.135868,610401998,0.135868
"2022-03-27",0.1359,0.144858,0.135703,0.144732,1445019558,0.144732
"2022-03-28",0.144725,0.152737,0.142457,0.142657,1476875507,0.142657
"2022-03-29",0.142557,0.148559,0.14129,0.14447,961074557,0.14447
"2022-03-30",0.144456,0.144997,0.13988,0.14321,884305263,0.14321
"2022-03-31",0.143184,0.14722,0.137172,0.137826,1055136949,0.137826
"2022-04-01",0.137922,0.142394,0.133209,0.141315,877530017,0.141315
"2022-04-02",0.14131,0.144069,0.138882,0.138913,682408266,0.138913
"2022-04-03",0.138903,0.148558,0.137088,0.146453,1047399132,0.146453
"2022-04-04",0.146413,0.155312,0.142008,0.148591,2253509569,0.148591
"2022-04-05",0.148614,0.178045,0.147727,0.172907,5230288678,0.172907
"2022-04-06",0.172485,0.173497,0.143291,0.143417,3729047979,0.143417
"2022-04-07",0.143432,0.148028,0.141312,0.146102,1420790611,0.146102
"2022-04-08",0.146106,0.152716,0.141608,0.142549,1683800631,0.142549
"2022-04-09",0.142544,0.144462,0.141416,0.144303,523997409,0.144303
"2022-04-10",0.144304,0.156972,0.143863,0.149535,1931829669,0.149535
"2022-04-11",0.149374,0.151292,0.133818,0.134654,1515679359,0.134654
"2022-04-12",0.134652,0.144122,0.134243,0.138076,1214105682,0.138076
"2022-04-13",0.13807,0.142608,0.137067,0.14008,890728707,0.14008
"2022-04-14",0.140053,0.146633,0.138101,0.14392,1759067761,0.14392
"2022-04-15",0.143917,0.149287,0.142767,0.146026,1140382087,0.146026
"2022-04-16",0.146017,0.147811,0.142093,0.143712,584019179,0.143712
"2022-04-17",0.143693,0.144709,0.138995,0.139459,636442285,0.139459
"2022-04-18",0.139471,0.140461,0.134384,0.140286,909718484,0.140286
"2022-04-19",0.140297,0.144141,0.1395,0.142665,679511647,0.142665
"2022-04-20",0.142677,0.146241,0.139595,0.140878,1068542289,0.140878
"2022-04-21",0.140868,0.142448,0.135255,0.136365,740549793,0.136365
"2022-04-22",0.136357,0.137908,0.134985,0.136395,505251263,0.136395
"2022-04-23",0.136387,0.136495,0.13381,0.134241,349740069,0.134241
"2022-04-24",0.134202,0.13469,0.131502,0.131947,436620221,0.131947
"2022-04-25",0.131936,0.167735,0.123869,0.157959,5177823685,0.157959
